id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,120,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,79,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,chill,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,pop,happy,0.76,121,0.81,0.82,0.35
11,City Cipher,Nova Script,hip hop,confident,0.74,96,0.68,0.81,0.14
12,Moonlit Sonata,Aria Vale,classical,serene,0.22,66,0.52,0.20,0.95
13,Island Lanterns,Coral Tide,reggae,sunny,0.58,88,0.79,0.76,0.48
14,Iron Anthem,Forge Static,metal,aggressive,0.97,178,0.39,0.52,0.03
15,Dust Road Radio,Cedar Hale,country,wistful,0.49,104,0.63,0.57,0.67
16,Velvet Afterglow,June Ember,r&b,romantic,0.55,92,0.72,0.74,0.31
17,Neon Horizon,Prism Current,edm,euphoric,0.94,128,0.83,0.90,0.07
18,Fireside Letters,Willow Frame,folk,tender,0.33,76,0.66,0.44,0.88
19,Back Alley Brass,Blue Circuit,blues,gritty,0.46,84,0.47,0.50,0.79
20,Pulse Engine,Kilo Metric,techno,hypnotic,0.89,134,0.42,0.86,0.09
21,Sun Market Dance,Rio Arcade,latin,festive,0.85,122,0.88,0.87,0.19
22,Night Shift Bass,Sub Loom,trap,dark,0.81,142,0.36,0.72,0.11
23,Baobab Groove,Golden Kora,afrobeat,playful,0.78,116,0.84,0.83,0.26
24,Static Hearts,Riot Bloom,punk,rebellious,0.92,168,0.54,0.61,0.08
25,Sunday Vinyl,Honey North,soul,soulful,0.51,98,0.75,0.69,0.58
26,Mirrorball Steps,Chrome Avenue,house,energized,0.88,126,0.80,0.91,0.12
27,Midtown Bounce,Electric Marmalade,funk,groovy,0.71,112,0.77,0.89,0.21
28,Seoul Starlight,Luna Circuit,k-pop,dreamy,0.83,120,0.82,0.85,0.17
29,Overclock Run,Vector Rush,drum and bass,urgent,0.96,174,0.45,0.79,0.06
30,Desert Caravan,Saffron Atlas,world,meditative,0.38,82,0.61,0.48,0.83
31,Paper Lantern Skies,Harbor Vale,folk,calm,0.26,68,0.64,0.46,0.91
32,Electric Bloom,Marrow Pulse,edm,upbeat,0.86,128,0.79,0.92,0.08
33,Quiet Signal,North Harbor,ambient,reflective,0.19,54,0.50,0.31,0.97
34,City Neon Run,Atlas Wave,hip hop,driven,0.77,102,0.58,0.84,0.12
35,Blue Hour Drift,Satin River,r&b,late-night,0.52,90,0.71,0.67,0.34
36,Thunder Garden,Iron Petal,rock,intense,0.90,150,0.47,0.69,0.09
37,Sunlit Caravan,Desert Bloom,latin,joyful,0.82,118,0.86,0.88,0.22
38,Candlelight Lines,Velvet Archive,jazz,soft,0.34,84,0.73,0.53,0.85
39,Glacier Pulse,Frost Harbor,techno,mechanical,0.93,138,0.41,0.80,0.05
40,Golden Pathways,Maple Current,country,openhearted,0.48,100,0.67,0.60,0.73
41,Rebel Static,Crush Theory,punk,charged,0.88,170,0.44,0.63,0.07
42,Lunar Tide,Coral Drift,reggae,warm,0.57,88,0.78,0.74,0.41
43,Midnight Orchard,Juniper Bloom,soul,smoky,0.45,96,0.69,0.58,0.56
44,Chrome Sunrise,Pixel Avenue,k-pop,bright,0.79,126,0.83,0.86,0.16
45,Saffron River,Nomad Kites,world,spiritual,0.36,74,0.62,0.49,0.87
46,Vinyl Sparks,Side Street,funk,groovy,0.69,112,0.76,0.89,0.24
47,Orbiting Hands,Signal Shore,classical,focused,0.24,62,0.53,0.18,0.96
48,Afterglow Avenue,Glass Harbor,synthwave,nostalgic,0.73,108,0.57,0.72,0.29
49,Wildflower Engine,Rootline,afrobeat,animated,0.84,120,0.82,0.85,0.20
50,Winter Street Choir,Evening Loom,choir,solemn,0.30,66,0.55,0.27,0.93
